simulation_id,n_obs,identity_cov_matrix,p_features,link_function,selector,share_of_truth_uncovered,ratio_total_select_coeffs_true_coeffs,false_pos_share_true_support,false_pos_share_right_selection,linear_effect_coverage,conf_int_width
1,100,False,80,sine_link,boruta_selector,0.1,0.1,0.0,0.0,True,[0.42104369 1.16879766]
1,100,False,80,sine_link,univariate_feature_selection,0.1,0.1,0.0,0.0,True,[0.42104369 1.16879766]
1,100,False,80,sine_link,lasso_feature_selection,0.1,0.5,0.4,4.0,True,[0.35898147 1.19330656]
1,100,False,80,sine_link,adaptive_lasso_tuned,0.3,1.1,0.8,2.6666666666666665,False,[0.53761628 0.98528233]
1,2000,True,20,linear_link,boruta_selector,0.7,0.8,0.1,0.1428571428571428,True,[0.96692657 1.03177724]
1,2000,True,20,linear_link,univariate_feature_selection,0.9,1.4,0.5,0.5555555555555556,True,[0.96693017 1.02992083]
1,2000,True,20,linear_link,lasso_feature_selection,1.0,1.3,0.3,0.3,True,[0.96388794 1.0269708 ]
1,2000,True,20,linear_link,adaptive_lasso_tuned,0.9,0.9,0.0,0.0,True,[0.9664985  1.01025877]
1,2000,True,20,polynomial_link,boruta_selector,0.5,0.5,0.0,0.0,,
1,2000,True,20,polynomial_link,univariate_feature_selection,0.4,0.5,0.1,0.25,False,[-0.39599084  0.78659977]
1,2000,True,20,polynomial_link,lasso_feature_selection,0.9,1.6,0.7,0.7777777777777778,False,[-0.38041963  0.80180404]
1,2000,True,20,polynomial_link,adaptive_lasso_tuned,0.6,0.7,0.1,0.1666666666666666,False,[0.04046199 0.90262435]
1,2000,True,20,sine_link,boruta_selector,0.3,0.4,0.1,0.3333333333333333,True,[0.92317484 1.0606314 ]
1,2000,True,20,sine_link,univariate_feature_selection,0.1,0.1,0.0,0.0,True,[0.92496811 1.06216627]
1,2000,True,20,sine_link,lasso_feature_selection,0.3,0.5,0.2,0.6666666666666666,True,[0.92528744 1.06275492]
1,2000,True,20,sine_link,adaptive_lasso_tuned,0.1,0.1,0.0,0.0,True,[0.96896258 1.06585781]
1,2000,True,80,linear_link,boruta_selector,0.7,0.7,0.0,0.0,True,[0.96183825 1.02963941]
1,2000,True,80,linear_link,univariate_feature_selection,0.7,1.2,0.5,0.7142857142857143,True,[0.96093759 1.02919488]
1,2000,True,80,linear_link,lasso_feature_selection,0.9,2.0,1.1,1.2222222222222223,True,[0.95340315 1.02040605]
1,2000,True,80,linear_link,adaptive_lasso_tuned,0.8,0.8,0.0,0.0,True,[0.95843911 1.00402334]
1,2000,True,80,polynomial_link,boruta_selector,0.6,0.8,0.2,0.3333333333333333,,
1,2000,True,80,polynomial_link,univariate_feature_selection,0.1,0.1,0.0,0.0,,
1,2000,True,80,polynomial_link,lasso_feature_selection,0.5,0.7,0.2,0.4,,
1,2000,True,80,polynomial_link,adaptive_lasso_tuned,0.6,0.7,0.1,0.1666666666666666,True,[0.27891132 1.11085075]
1,2000,True,80,sine_link,boruta_selector,0.1,0.1,0.0,0.0,True,[0.91177178 1.05373055]
1,2000,True,80,sine_link,univariate_feature_selection,0.1,0.1,0.0,0.0,True,[0.91177178 1.05373055]
1,2000,True,80,sine_link,lasso_feature_selection,0.1,0.1,0.0,0.0,True,[0.91177178 1.05373055]
1,2000,True,80,sine_link,adaptive_lasso_tuned,0.1,0.1,0.0,0.0,True,[0.94085149 1.03970271]
1,2000,False,20,linear_link,boruta_selector,0.7,0.7,0.0,0.0,True,[0.97365695 1.04009603]
1,2000,False,20,linear_link,univariate_feature_selection,1.0,1.6,0.6,0.6,True,[0.97591984 1.04051293]
1,2000,False,20,linear_link,lasso_feature_selection,1.0,1.4,0.4,0.4,True,[0.97577655 1.04046373]
1,2000,False,20,linear_link,adaptive_lasso_tuned,1.0,1.3,0.3,0.3,True,[0.9780002  1.02324982]
1,2000,False,20,polynomial_link,boruta_selector,0.6,0.7,0.1,0.1666666666666666,,
1,2000,False,20,polynomial_link,univariate_feature_selection,0.3,0.3,0.0,0.0,,
1,2000,False,20,polynomial_link,lasso_feature_selection,0.5,0.6,0.1,0.2,True,[0.03522159 1.28085269]
1,2000,False,20,polynomial_link,adaptive_lasso_tuned,0.7,0.8,0.1,0.1428571428571428,True,[0.46589031 1.31630465]
1,2000,False,20,sine_link,boruta_selector,0.1,0.1,0.0,0.0,True,[0.99322325 1.12641725]
1,2000,False,20,sine_link,univariate_feature_selection,0.1,0.1,0.0,0.0,True,[0.99322325 1.12641725]
1,2000,False,20,sine_link,lasso_feature_selection,0.2,0.3,0.1,0.5,True,[0.99208917 1.12543833]
1,2000,False,20,sine_link,adaptive_lasso_tuned,0.1,0.1,0.0,0.0,True,[0.99622156 1.09461887]
1,2000,False,80,linear_link,boruta_selector,0.7,0.7,0.0,0.0,True,[0.96582882 1.03329268]
1,2000,False,80,linear_link,univariate_feature_selection,0.7,1.2,0.5,0.7142857142857143,True,[0.96604348 1.03375016]
1,2000,False,80,linear_link,lasso_feature_selection,1.0,2.8,1.8,1.8,True,[0.9683263  1.03474773]
1,2000,False,80,linear_link,adaptive_lasso_tuned,1.0,2.0,1.0,1.0,True,[0.99193335 1.03634456]
1,2000,False,80,polynomial_link,boruta_selector,0.5,0.8,0.3,0.6,True,[0.60841045 1.8594528 ]
1,2000,False,80,polynomial_link,univariate_feature_selection,0.1,0.1,0.0,0.0,True,[0.55043199 1.82325318]
1,2000,False,80,polynomial_link,lasso_feature_selection,0.1,0.1,0.0,0.0,True,[0.55043199 1.82325318]
1,2000,False,80,polynomial_link,adaptive_lasso_tuned,0.5,0.5,0.0,0.0,True,[0.337165   1.22513995]
1,2000,False,80,sine_link,boruta_selector,0.1,0.3,0.2,2.0,True,[0.94859168 1.08832485]
1,2000,False,80,sine_link,univariate_feature_selection,0.1,0.1,0.0,0.0,True,[0.94680057 1.08616112]
1,2000,False,80,sine_link,lasso_feature_selection,0.1,0.1,0.0,0.0,True,[0.94680057 1.08616112]
1,2000,False,80,sine_link,adaptive_lasso_tuned,0.1,0.1,0.0,0.0,True,[0.9531917  1.05095927]
2,100,True,20,linear_link,boruta_selector,0.3,0.3,0.0,0.0,,
2,100,True,20,linear_link,univariate_feature_selection,1.0,1.9,0.9,0.9,True,[0.86071158 1.20483997]
2,100,True,20,linear_link,lasso_feature_selection,1.0,2.0,1.0,1.0,True,[0.85566017 1.20925864]
